Height (m),Width (m),Height-to-Width Ratio,Number of Windows,Columns,Symmetry,Decorative Elements (%),Architectural Style
13.223802732216011,9.54826956750286,1.3849423331346529,23,1,0.8560575887970076,11.774387156998218,Gothic
17.441953264067795,12.379331695371908,1.408957582951637,22,0,0.8803336926289912,35.50471282086641,Gothic
16.503606922362096,11.31172303121292,1.4589825861915988,11,1,0.8274879528638914,12.709941936282004,Neoclassical
19.184358753413544,17.967673350886606,1.067715244971709,19,1,0.7142163238327015,16.50931642079754,Neoclassical
35.13295747109454,12.788967029076892,2.7471301936439847,39,1,0.5984519308217604,66.09407673459029,Baroque
22.17663243972635,10.369859069397435,2.1385664251862364,20,1,0.8999132470763843,20.942629945977394,Gothic
33.6926070387443,9.671120546342925,3.4838369429160885,49,1,0.6534588783683157,87.5095059600571,Baroque
16.206004116271288,17.803616897732276,0.9102647068492872,21,1,0.6508387699765041,87.55131525748507,Baroque
35.47706127325739,17.728799166634634,2.00109781490586,25,1,0.6196732317946444,65.29685127333363,Baroque
11.157551088090926,14.262636884898775,0.782292305282237,12,1,0.9260805752640752,12.966616805537344,Neoclassical
16.23513194702054,15.749314185038356,1.0308469153814777,45,1,0.6364922446164556,65.30282210591218,Baroque
21.91774803853996,14.182982180625409,1.5453553956008343,27,0,0.8414817792919324,24.50443596453689,Gothic
13.860716128910196,17.60005055096801,0.7875384271636566,19,1,0.988453067316358,15.2407525972297,Neoclassical
16.06749937462071,14.991568311100972,1.0717690798715855,17,1,0.9229801579016168,24.146085766869845,Neoclassical
14.194901755482492,17.97393495279442,0.7897492559510794,13,1,0.7014849429146044,24.689441506333637,Neoclassical
17.463287524862,17.750521455433727,0.9838182821111544,20,1,0.8322637715304702,21.147940758672387,Neoclassical
17.388916673456734,14.60712402781019,1.190440817805774,24,1,0.7191486559141297,21.71824798431922,Neoclassical
16.91148448196614,15.33460479600552,1.102831452583074,11,1,0.9016953528720584,27.993636098609755,Neoclassical
27.01648963225761,16.587709236558855,1.6287052809386129,24,0,0.9098384828773652,34.10700923187727,Gothic
21.6437817772548,9.808627140703845,2.2066066399279705,19,1,0.9216870676600928,15.636917503637145,Gothic
20.447755587568714,12.437327185089387,1.644063493970208,18,1,0.9393076410303766,29.45103343746658,Gothic
17.500716376527222,9.26976102698888,1.8879360887054089,16,1,0.7657015817308523,15.608007337000524,Neoclassical
27.074389932616945,14.188057539262656,1.908252053369103,22,1,0.5677839259059849,56.29129323686087,Baroque
21.35302306420429,6.968097563023937,3.0643978318434657,40,1,0.6351233623831346,64.4294519772928,Baroque
27.105130027453143,12.330832829704706,2.198158907982069,15,0,0.9201556322775007,21.474981626930465,Gothic
23.534285645681464,13.925122852638118,1.6900594626511958,29,0,0.8628517096782384,23.630772435405724,Gothic
16.02387492721673,9.96505654332934,1.6080064229984925,28,0,0.9940706969157148,37.10154929424688,Gothic
21.25790580530394,9.3121103433283,2.2828236588212523,23,0,0.8595808594273745,35.521770089921475,Gothic
26.81886089165004,7.923877486712404,3.3845627896976884,15,1,0.911461050589401,34.34419540259421,Gothic
26.81058950092875,8.036556202722739,3.3360793883138,24,1,0.90994907023939,14.63042507439519,Gothic
28.59902593748236,9.655470179927573,2.9619506253497523,21,1,0.5767460864443879,55.92494536115286,Baroque
22.249930145125077,6.675129988083479,3.333257956750792,27,0,0.8034719237234896,28.077369852850826,Gothic
32.25738152165064,12.821861719845174,2.515811059771759,26,1,0.6462040892433794,77.04892304563846,Baroque
13.246801253349355,16.629474749861544,0.7965856680746726,14,1,0.8970164175421179,25.015265786004605,Neoclassical
14.283514799610264,9.84666312167894,1.4505944423104018,11,1,0.9802771964139044,13.140714229898286,Neoclassical
16.69082874827804,6.466690852013498,2.581046338883064,18,1,0.9200004963751592,27.66958036030234,Neoclassical
18.06002045754,13.947310071202605,1.294874808500101,39,1,0.5972069395746167,86.6367005534193,Baroque
13.49961550022298,12.216823758822846,1.105002066553814,22,1,0.718132654092628,20.00852795760961,Neoclassical
29.769133631534203,13.365969197162102,2.22723344580615,29,1,0.6525421473637286,66.48306529200215,Baroque
33.615856240691784,22.900961242431304,1.4678797053465045,21,1,0.6820004782825876,72.83270920181621,Baroque
15.531714880373409,7.134988582250535,2.176838084788407,49,1,0.6426841072441747,54.013673731457786,Baroque
10.922484343660663,14.28134150640953,0.7648080076201947,10,1,0.7998251833170136,28.973044459667136,Neoclassical
18.269125367704664,15.50923137384036,1.1779516938872585,33,1,0.5668665290439945,56.9389000941974,Baroque
22.50524505702927,13.041902254909152,1.725610621606828,24,1,0.9533408765401116,28.810008671124766,Neoclassical
23.80939986421662,16.300533985768606,1.4606515274287166,14,1,0.9555153605897032,17.856338091376358,Neoclassical
22.845948804516823,12.87343319544785,1.774658590110627,20,0,0.8733688330646883,39.80502957054155,Gothic
30.62644583776032,9.420242982392931,3.251131196403661,28,0,0.9795978784331444,10.200769659466038,Gothic
35.866102081344536,12.842667393594816,2.792729966613672,46,1,0.500292087188649,63.104313487792304,Baroque
16.678798760992084,11.962023776245085,1.3943124569033092,19,1,0.7846247547267153,29.811546077966725,Neoclassical
22.560173940078045,13.619370908855528,1.656476946773589,21,0,0.8005020902001103,29.187169422583164,Gothic
17.32956396762978,9.932731516472549,1.744692679842423,24,1,0.9081822972852872,20.278445727476623,Neoclassical
18.575563916237087,15.46375704439065,1.2012322660601564,21,1,0.8462414219961877,13.467383841941103,Neoclassical
10.51619862801784,18.184558377647623,0.5783037679344638,17,1,0.8450728601738046,28.565122539430654,Neoclassical
24.029925230903903,14.094834950157338,1.7048745385014714,29,0,0.9513848198304572,39.15053926423602,Gothic
16.816424827020043,12.977820449537516,1.295781899002873,14,1,0.711325232508988,15.888362239743907,Neoclassical
25.74220113124592,10.85628524987102,2.371179509266464,29,1,0.8466817433739993,38.09286559597948,Gothic
21.616630861177683,21.77441101245325,0.9927538728287378,19,1,0.9977505135842696,10.19400862199667,Neoclassical
20.888951321188344,16.218575698501628,1.2879645974780751,17,1,0.9561195403121374,29.17249317717686,Neoclassical
9.31863637222248,9.576370258211298,0.9730864744115524,26,1,0.5487092396782933,79.33852126401294,Baroque
25.035531526621508,13.10462757213152,1.9104344163021016,15,1,0.9415555398419498,27.815033543016312,Gothic
29.83854626665927,17.842001205155547,1.6723766534685165,40,1,0.5969448724333183,71.8818868641059,Baroque
13.6745971369435,12.106537162110838,1.1295217578598886,26,0,0.9787217304736,10.286816725085346,Gothic
12.361104217983286,14.209856507738868,0.8698964842643746,28,1,0.8738118886091826,34.6829641285364,Gothic
27.396283549517907,14.925167357085837,1.8355763050463427,25,1,0.9035693512815642,12.803421768516433,Gothic
22.96626933125786,13.974418525244852,1.643450801889838,11,1,0.9099440972207936,12.961451495209849,Neoclassical
39.86448326611884,17.13703605095965,2.326218089731245,31,1,0.5632087067937976,84.90024016867358,Baroque
16.22173209016195,18.42641112081276,0.8803522283207601,15,1,0.9203583553530212,12.520364196388298,Neoclassical
14.380502787352787,12.952978028055732,1.1102082282703702,22,1,0.8832216900132988,19.235660868714,Neoclassical
20.60170051627184,8.56936028370013,2.4041118396502186,28,1,0.9084685146783454,33.50166174510235,Gothic
21.713968312419247,15.88494776189012,1.3669524532220143,18,1,0.8104682991216501,26.13832727552458,Neoclassical
17.540633034588275,4.010583613786942,4.373586171920191,17,1,0.8325339149963049,29.499378300066503,Neoclassical
21.539811018180387,10.10251192312321,2.132124285731238,15,0,0.9129669166095394,10.581588500515554,Gothic
14.990621490890728,13.42279190340494,1.1168035382481107,12,1,0.9637307019463308,10.89157269904813,Neoclassical
23.08327236955989,14.959011123062712,1.5431014911120549,16,1,0.7368212382348146,23.239513035202407,Neoclassical
35.30074367160574,20.59793958543892,1.7137997480369591,46,1,0.6061646207090159,65.84018015839972,Baroque
30.789143123157515,18.50715088265618,1.663634954854737,45,1,0.512191989923794,53.9928737254068,Baroque
21.58752566158949,18.005690237532537,1.1989279709250291,27,1,0.9638913540152846,39.13512855207706,Gothic
18.918234447064894,14.678691680996916,1.2888229317846158,21,1,0.7644264423688837,25.933711974201096,Neoclassical
15.923016972403977,16.918325446855274,0.9411697997193744,16,1,0.8385396653650368,26.96406567504166,Neoclassical
17.85354787630039,11.488250213116338,1.5540702496117884,22,1,0.9861559561803974,30.942638476385454,Gothic
